ProjectCode,recordCount,month,year
SIA,39,2,2016
SIA,47,3,2016
SIA,4,4,2016
SIA,6,5,2016
SIA,151,6,2016
SIA,11930,7,2016
SIA,19029,8,2016
SIA,16877,9,2016
SIA,11778,10,2016
SIA,12605,11,2016
SIA,9138,12,2016
FAT,73,12,2016
OIC,70149,1,2017
SIA,9542,1,2017
FAT,855,1,2017
OIC,399723,2,2017
SUN,79659,2,2017
SIA,9910,2,2017
FAT,456,2,2017
OIC,165571,3,2017
SUN,22168,3,2017
SIA,11661,3,2017
I4R,2866,3,2017
FAT,847,3,2017
OIC,81648,4,2017
I4R,16218,4,2017
SUN,16158,4,2017
SIA,7433,4,2017
FAT,709,4,2017
OIC,78031,5,2017
BHC,59224,5,2017
I4R,18129,5,2017
SUN,14853,5,2017
SIA,10766,5,2017
FAT,679,5,2017
OIC,83326,6,2017
BHC,41230,6,2017
I4R,18285,6,2017
SUN,14912,6,2017
SIA,11383,6,2017
JLS,1764,6,2017
FAT,654,6,2017
BDR,223,6,2017
OIC,74330,7,2017
BHC,51032,7,2017
I4R,17994,7,2017
SUN,14553,7,2017
SIA,9076,7,2017
APL,3294,7,2017
RMI,1650,7,2017
FAT,635,7,2017
BDR,223,7,2017
OIC,150732,8,2017
BHC,50242,8,2017
EEM,45509,8,2017
I4R,17907,8,2017
SUN,14402,8,2017
RMI,13840,8,2017
SIA,12585,8,2017
APL,12464,8,2017
FAT,667,8,2017
BDR,223,8,2017
OIC,76918,9,2017
BHC,45661,9,2017
EEM,42565,9,2017
I4R,16947,9,2017
SUN,14391,9,2017
APL,12379,9,2017
SIA,10280,9,2017
RMI,9594,9,2017
FAT,59,9,2017
OIC,71777,10,2017
BHC,51283,10,2017
EEM,45053,10,2017
I4R,16028,10,2017
SUN,13260,10,2017
APL,11672,10,2017
SIA,10129,10,2017
FAT,600,10,2017
RMI,528,10,2017
SBW,232,10,2017
OIC,71980,11,2017
BHC,46274,11,2017
EEM,43293,11,2017
I4R,15447,11,2017
SUN,13886,11,2017
VMM,11049,11,2017
APL,10786,11,2017
SIA,10347,11,2017
SBW,430,11,2017
FAT,189,11,2017
RMI,161,11,2017
TPM,42,11,2017
CAP,117390,12,2017
OIC,63154,12,2017
EEM,47934,12,2017
ODR,29128,12,2017
VMM,22261,12,2017
BHC,22242,12,2017
SUN,14481,12,2017
I4R,12487,12,2017
TPM,9503,12,2017
APL,8796,12,2017
JLS,8367,12,2017
SIA,5040,12,2017
FAT,819,12,2017
SBW,552,12,2017
RMI,258,12,2017
CAP,338096,1,2018
ODR,129497,1,2018
OIC,70533,1,2018
BHC,59388,1,2018
EEM,41604,1,2018
TPM,24936,1,2018
I4R,16894,1,2018
SUN,14691,1,2018
SIA,14027,1,2018
APL,11971,1,2018
SDI,9999,1,2018
RMI,2880,1,2018
JLS,1582,1,2018
FAT,735,1,2018
SBW,318,1,2018
CAP,187180,2,2018
ODR,160102,2,2018
OIC,75163,2,2018
SDI,52138,2,2018
BHC,38377,2,2018
EEM,28059,2,2018
SUN,15464,2,2018
I4R,14177,2,2018
SIA,12928,2,2018
APL,11734,2,2018
RMI,2428,2,2018
TPM,2270,2,2018
VMM,1984,2,2018
JLS,1214,2,2018
FAT,567,2,2018
SBW,111,2,2018
ODR,244878,3,2018
CAP,218756,3,2018
SDI,72516,3,2018
OIC,69627,3,2018
BHC,39535,3,2018
EEM,29990,3,2018
SUN,20734,3,2018
I4R,17510,3,2018
SIA,12688,3,2018
APL,10777,3,2018
RMI,4223,3,2018
TPM,3838,3,2018
JLS,2624,3,2018
FAT,336,3,2018
VMM,327,3,2018
SBW,135,3,2018
CAP,270904,4,2018
ODR,141193,4,2018
TPM,92750,4,2018
OIC,69494,4,2018
SDI,51752,4,2018
BHC,40623,4,2018
EEM,35608,4,2018
SUN,15163,4,2018
I4R,14477,4,2018
SIA,13042,4,2018
APL,10915,4,2018
VMM,7677,4,2018
JLS,2749,4,2018
DIL,2442,4,2018
FAT,505,4,2018
RMI,458,4,2018
SBW,186,4,2018
CAP,235015,5,2018
ODR,110897,5,2018
OIC,70144,5,2018
EEM,35277,5,2018
SDI,27463,5,2018
BHC,19184,5,2018
SIA,14490,5,2018
RMI,14177,5,2018
SUN,13896,5,2018
I4R,13748,5,2018
APL,11486,5,2018
DIL,7980,5,2018
BDR,5554,5,2018
TPM,4406,5,2018
JLS,2911,5,2018
LEO,1634,5,2018
FAT,719,5,2018
SBW,162,5,2018
CAP,276249,6,2018
ODR,155301,6,2018
OIC,132670,6,2018
BNM,70102,6,2018
BHC,50847,6,2018
TPM,45025,6,2018
SDI,44634,6,2018
EEM,42047,6,2018
I4R,15578,6,2018
SIA,14780,6,2018
SUN,13976,6,2018
RMI,10889,6,2018
APL,9810,6,2018
DIL,8750,6,2018
JLS,3314,6,2018
LEO,1927,6,2018
FAT,1594,6,2018
HVN,271,6,2018
SBW,95,6,2018
CAP,178757,7,2018
ODR,153915,7,2018
BHC,46555,7,2018
EEM,42558,7,2018
SDI,32515,7,2018
VAN,20025,7,2018
SIA,15322,7,2018
I4R,14677,7,2018
SAI,13832,7,2018
SUN,13629,7,2018
HVN,13230,7,2018
APL,9689,7,2018
DIL,8878,7,2018
FAT,2633,7,2018
TPM,2495,7,2018
JLS,2245,7,2018
LEO,2186,7,2018
RMI,1006,7,2018
OIC,865,7,2018
SBW,177,7,2018
CAP,340237,8,2018
ODR,92836,8,2018
OIC,68466,8,2018
EEM,43530,8,2018
BHC,42932,8,2018
SDI,30420,8,2018
VAN,22060,8,2018
SUN,13502,8,2018
HVN,13371,8,2018
SIA,12859,8,2018
I4R,12686,8,2018
RMI,10629,8,2018
APL,9642,8,2018
DIL,9273,8,2018
TPM,7837,8,2018
JLS,3737,8,2018
LEO,2422,8,2018
FAT,1318,8,2018
SAI,497,8,2018
SBW,84,8,2018
CAP,170318,9,2018
ODR,89260,9,2018
TPM,88504,9,2018
OIC,69739,9,2018
BHC,48924,9,2018
EEM,43306,9,2018
SDI,29786,9,2018
VAN,14920,9,2018
I4R,14584,9,2018
SUN,13489,9,2018
HVN,13455,9,2018
SIA,13018,9,2018
DIL,10019,9,2018
APL,9528,9,2018
JLS,4095,9,2018
LEO,1968,9,2018
FAT,830,9,2018
RMI,567,9,2018
SAI,286,9,2018
SBW,46,9,2018
CAP,267594,10,2018
OIC,136069,10,2018
ODR,113954,10,2018
BHC,58024,10,2018
EEM,47418,10,2018
SDI,44597,10,2018
DIL,14538,10,2018
VAN,14077,10,2018
HVN,13886,10,2018
I4R,13124,10,2018
SIA,13013,10,2018
SUN,12440,10,2018
APL,8212,10,2018
TPM,4908,10,2018
JLS,4192,10,2018
LEO,2272,10,2018
FAT,1308,10,2018
SAI,604,10,2018
SBW,41,10,2018
CAP,180334,11,2018
ODR,84923,11,2018
OIC,67425,11,2018
SDI,48576,11,2018
TPM,47415,11,2018
EEM,45516,11,2018
BHC,44769,11,2018
SIA,14855,11,2018
I4R,13712,11,2018
HVN,13185,11,2018
SUN,12978,11,2018
DIL,11413,11,2018
APL,8534,11,2018
VAN,8226,11,2018
JLS,7675,11,2018
LEO,2596,11,2018
FAT,1312,11,2018
SAI,787,11,2018
SBW,22,11,2018
CAP,290892,12,2018
ODR,65366,12,2018
OIC,58117,12,2018
SDI,53751,12,2018
BHC,44375,12,2018
EEM,43733,12,2018
DIL,20553,12,2018
HVN,17373,12,2018
SUN,13708,12,2018
SIA,11415,12,2018
I4R,10992,12,2018
TPM,8635,12,2018
JLS,7105,12,2018
APL,6281,12,2018
VAN,5251,12,2018
LEO,1900,12,2018
FAT,831,12,2018
RMI,646,12,2018
SAI,451,12,2018
SBW,17,12,2018
CAP,221084,1,2019
ODR,93467,1,2019
OIC,64541,1,2019
SDI,57227,1,2019
EEM,51885,1,2019
BHC,48776,1,2019
DIL,23398,1,2019
PLE,14007,1,2019
SUN,13842,1,2019
HVN,13640,1,2019
SIA,12453,1,2019
I4R,11691,1,2019
VAN,10565,1,2019
APL,8474,1,2019
JLS,3040,1,2019
LEO,2367,1,2019
TPM,1620,1,2019
FAT,746,1,2019
SAI,398,1,2019
SBW,11,1,2019
CAP,285264,2,2019
ODR,88568,2,2019
PLE,80000,2,2019
OIC,66146,2,2019
SDI,45304,2,2019
EEM,40808,2,2019
VAN,15842,2,2019
HVN,15789,2,2019
SIA,14684,2,2019
SUN,14670,2,2019
DIL,12182,2,2019
I4R,10353,2,2019
APL,9392,2,2019
JLS,2767,2,2019
LEO,2194,2,2019
TPM,2169,2,2019
SAI,1104,2,2019
FAT,627,2,2019
SBW,5,2,2019
CAP,192738,3,2019
PLE,172299,3,2019
ODR,95227,3,2019
GRC,84981,3,2019
OIC,64638,3,2019
BHC,60874,3,2019
EEM,42281,3,2019
TRO,42263,3,2019
TPM,38066,3,2019
SUN,19755,3,2019
I4R,19033,3,2019
DIL,18201,3,2019
OXA,15650,3,2019
HVN,14499,3,2019
VAN,13336,3,2019
SIA,12735,3,2019
APL,11093,3,2019
SDI,2746,3,2019
LEO,2687,3,2019
JLS,2386,3,2019
SAI,1036,3,2019
FAT,647,3,2019
GTI,224,3,2019
BDR,67,3,2019
OIC,72712,4,2019
CAP,68027,4,2019
PLE,56173,4,2019
ODR,45319,4,2019
TEM,31937,4,2019
BHC,31638,4,2019
EEM,29961,4,2019
DIL,24134,4,2019
GRC,17276,4,2019
HVN,14824,4,2019
SUN,14562,4,2019
VAN,8657,4,2019
OXA,7142,4,2019
I4R,6959,4,2019
APL,6679,4,2019
SIA,6003,4,2019
JLS,2457,4,2019
SAI,2433,4,2019
GTI,773,4,2019
TPM,735,4,2019
FAT,544,4,2019
TRO,97,4,2019
